order_date;document_number;costumer;product;unit_price;document_value;implant_date
07/04/2023;249;7;5;90;450;06/02/2023
07/04/2023;250;16;7;40;280;10/03/2023
08/04/2023;251;5;6;30;180;31/01/2023
08/04/2023;252;6;8;190;1520;01/02/2023
08/04/2023;253;7;10;200;2000;06/02/2023
08/04/2023;254;15;4;150;600;10/03/2023
08/04/2023;255;18;1;100;100;18/03/2023
08/04/2023;256;21;3;120;360;01/04/2023
09/04/2023;257;3;7;40;280;15/01/2023
09/04/2023;258;10;9;200;1800;14/02/2023
09/04/2023;259;13;8;190;1520;03/03/2023
09/04/2023;260;17;10;200;2000;16/03/2023
09/04/2023;261;17;7;40;280;16/03/2023
09/04/2023;262;17;7;40;280;16/03/2023
09/04/2023;263;18;8;190;1520;18/03/2023
09/04/2023;264;19;5;90;450;27/03/2023
10/04/2023;265;1;10;200;2000;01/01/2023
10/04/2023;266;5;10;200;2000;31/01/2023
10/04/2023;267;5;6;30;180;31/01/2023
10/04/2023;268;9;3;120;360;09/02/2023
10/04/2023;269;17;2;105;210;16/03/2023
11/04/2023;270;3;5;90;450;15/01/2023
11/04/2023;271;10;10;200;2000;14/02/2023
11/04/2023;272;11;10;200;2000;16/02/2023
11/04/2023;273;14;5;90;450;03/03/2023
11/04/2023;274;18;8;190;1520;18/03/2023
11/04/2023;275;20;10;200;2000;29/03/2023
11/04/2023;276;21;10;200;2000;01/04/2023
12/04/2023;277;7;3;120;360;06/02/2023
12/04/2023;278;7;10;200;2000;06/02/2023
12/04/2023;279;11;10;200;2000;16/02/2023
13/04/2023;280;3;1;100;100;15/01/2023
13/04/2023;281;6;10;200;2000;01/02/2023
13/04/2023;282;8;9;200;1800;06/02/2023
13/04/2023;283;9;2;105;210;09/02/2023
13/04/2023;284;9;7;40;280;09/02/2023
13/04/2023;285;10;3;120;360;14/02/2023
13/04/2023;286;11;6;30;180;16/02/2023
13/04/2023;287;11;6;30;180;16/02/2023
13/04/2023;288;11;4;150;600;16/02/2023
13/04/2023;289;12;5;90;450;19/02/2023
13/04/2023;290;21;3;120;360;01/04/2023
13/04/2023;291;23;1;100;100;13/04/2023
14/04/2023;292;8;10;200;2000;06/02/2023
14/04/2023;293;8;9;200;1800;06/02/2023
14/04/2023;294;9;3;120;360;09/02/2023
15/04/2023;295;10;3;120;360;14/02/2023
15/04/2023;296;21;7;40;280;01/04/2023
16/04/2023;297;2;5;90;450;08/01/2023
16/04/2023;298;3;8;190;1520;15/01/2023
16/04/2023;299;3;2;105;210;15/01/2023
16/04/2023;300;13;8;190;1520;03/03/2023
16/04/2023;301;16;1;100;100;10/03/2023
17/04/2023;302;6;6;30;180;01/02/2023
17/04/2023;303;9;9;200;1800;09/02/2023
17/04/2023;304;11;1;100;100;16/02/2023
17/04/2023;305;13;3;120;360;03/03/2023
18/04/2023;306;2;4;150;600;08/01/2023
18/04/2023;307;4;2;105;210;17/01/2023
18/04/2023;308;8;3;120;360;06/02/2023
18/04/2023;309;9;4;150;600;09/02/2023
18/04/2023;310;9;1;100;100;09/02/2023
18/04/2023;311;11;3;120;360;16/02/2023
18/04/2023;312;18;6;30;180;18/03/2023
18/04/2023;313;21;4;150;600;01/04/2023
19/04/2023;314;2;4;150;600;08/01/2023
19/04/2023;315;16;3;120;360;10/03/2023
19/04/2023;316;20;4;150;600;29/03/2023
20/04/2023;317;3;7;40;280;15/01/2023
20/04/2023;318;5;6;30;180;31/01/2023
20/04/2023;319;6;9;200;1800;01/02/2023
20/04/2023;320;9;10;200;2000;09/02/2023
20/04/2023;321;9;7;40;280;09/02/2023
20/04/2023;322;11;1;100;100;16/02/2023
21/04/2023;323;4;5;90;450;17/01/2023
22/04/2023;324;1;4;150;600;01/01/2023
22/04/2023;325;6;3;120;360;01/02/2023
22/04/2023;326;9;8;190;1520;09/02/2023
22/04/2023;327;14;10;200;2000;03/03/2023
22/04/2023;328;16;9;200;1800;10/03/2023
22/04/2023;329;19;9;200;1800;27/03/2023
23/04/2023;330;3;7;40;280;15/01/2023
23/04/2023;331;4;8;190;1520;17/01/2023
23/04/2023;332;10;1;100;100;14/02/2023
23/04/2023;333;11;9;200;1800;16/02/2023
23/04/2023;334;17;2;105;210;16/03/2023
25/04/2023;335;6;6;30;180;01/02/2023
25/04/2023;336;9;5;90;450;09/02/2023
25/04/2023;337;9;3;120;360;09/02/2023
25/04/2023;338;10;2;105;210;14/02/2023
25/04/2023;339;13;7;40;280;03/03/2023
25/04/2023;340;15;2;105;210;10/03/2023
25/04/2023;341;16;5;90;450;10/03/2023
25/04/2023;342;25;8;190;1520;25/04/2023
26/04/2023;343;1;1;100;100;01/01/2023
26/04/2023;344;4;10;200;2000;17/01/2023
26/04/2023;345;9;4;150;600;09/02/2023
26/04/2023;346;10;8;190;1520;14/02/2023
26/04/2023;347;12;10;200;2000;19/02/2023
26/04/2023;348;12;2;105;210;19/02/2023
26/04/2023;349;23;7;40;280;13/04/2023
27/04/2023;350;9;8;190;1520;09/02/2023
27/04/2023;351;15;5;90;450;10/03/2023
27/04/2023;352;19;7;40;280;27/03/2023
28/04/2023;353;21;6;30;180;01/04/2023
28/04/2023;354;22;3;120;360;03/04/2023
28/04/2023;355;24;10;200;2000;22/04/2023
28/04/2023;356;25;8;190;1520;25/04/2023
29/04/2023;357;7;1;100;100;06/02/2023
29/04/2023;358;11;1;100;100;16/02/2023
29/04/2023;359;20;5;90;450;29/03/2023
29/04/2023;360;22;10;200;2000;03/04/2023
30/04/2023;361;2;2;105;210;08/01/2023
30/04/2023;362;4;4;150;600;17/01/2023
30/04/2023;363;4;6;30;180;17/01/2023
30/04/2023;364;6;3;120;360;01/02/2023
30/04/2023;365;8;7;40;280;06/02/2023
30/04/2023;366;14;2;105;210;03/03/2023
30/04/2023;367;18;10;200;2000;18/03/2023
30/04/2023;368;18;8;190;1520;18/03/2023
30/04/2023;369;18;7;40;280;18/03/2023
30/04/2023;370;19;5;90;450;27/03/2023
30/04/2023;371;23;2;105;210;13/04/2023
01/05/2023;372;13;5;90;450;03/03/2023
01/05/2023;373;15;4;150;600;10/03/2023
01/05/2023;374;19;6;30;180;27/03/2023
02/05/2023;375;3;3;120;360;15/01/2023
02/05/2023;376;12;4;150;600;19/02/2023
02/05/2023;377;15;6;30;180;10/03/2023
02/05/2023;378;18;5;90;450;18/03/2023
02/05/2023;379;18;5;90;450;18/03/2023
02/05/2023;380;22;2;105;210;03/04/2023
03/05/2023;381;5;5;90;450;31/01/2023
03/05/2023;382;5;4;150;600;31/01/2023
03/05/2023;383;11;9;200;1800;16/02/2023
03/05/2023;384;13;10;200;2000;03/03/2023
03/05/2023;385;17;8;190;1520;16/03/2023
03/05/2023;386;21;8;190;1520;01/04/2023
04/05/2023;387;2;4;150;600;08/01/2023
04/05/2023;388;6;8;190;1520;01/02/2023
04/05/2023;389;14;3;120;360;03/03/2023
04/05/2023;390;19;8;190;1520;27/03/2023
04/05/2023;391;21;5;90;450;01/04/2023
04/05/2023;392;22;1;100;100;03/04/2023
05/05/2023;393;4;8;190;1520;17/01/2023
05/05/2023;394;4;4;150;600;17/01/2023
05/05/2023;395;4;5;90;450;17/01/2023
05/05/2023;396;11;9;200;1800;16/02/2023
05/05/2023;397;24;2;105;210;22/04/2023
06/05/2023;398;11;8;190;1520;16/02/2023
06/05/2023;399;16;1;100;100;10/03/2023
07/05/2023;400;6;6;30;180;01/02/2023
07/05/2023;401;13;3;120;360;03/03/2023
07/05/2023;402;23;5;90;450;13/04/2023
07/05/2023;403;25;3;120;360;25/04/2023
07/05/2023;404;26;2;105;210;26/04/2023
07/05/2023;405;27;10;200;2000;04/05/2023
07/05/2023;406;27;2;105;210;04/05/2023
08/05/2023;407;7;7;40;280;06/02/2023
08/05/2023;408;9;5;90;450;09/02/2023
08/05/2023;409;9;10;200;2000;09/02/2023
08/05/2023;410;13;9;200;1800;03/03/2023
08/05/2023;411;20;2;105;210;29/03/2023
08/05/2023;412;22;4;150;600;03/04/2023
08/05/2023;413;26;8;190;1520;26/04/2023
08/05/2023;414;27;10;200;2000;04/05/2023
09/05/2023;415;1;3;120;360;01/01/2023
09/05/2023;416;5;10;200;2000;31/01/2023
09/05/2023;417;9;2;105;210;09/02/2023
09/05/2023;418;10;2;105;210;14/02/2023
09/05/2023;419;12;3;120;360;19/02/2023
09/05/2023;420;13;10;200;2000;03/03/2023
09/05/2023;421;18;9;200;1800;18/03/2023
09/05/2023;422;22;8;190;1520;03/04/2023
09/05/2023;423;26;7;40;280;26/04/2023
09/05/2023;424;28;6;30;180;08/05/2023
10/05/2023;425;23;1;100;100;13/04/2023
10/05/2023;426;27;5;90;450;04/05/2023
11/05/2023;427;2;2;105;210;08/01/2023
11/05/2023;428;3;2;105;210;15/01/2023
11/05/2023;429;12;4;150;600;19/02/2023
11/05/2023;430;14;10;200;2000;03/03/2023
11/05/2023;431;25;3;120;360;25/04/2023
11/05/2023;432;27;10;200;2000;04/05/2023
11/05/2023;433;27;1;100;100;04/05/2023
11/05/2023;434;28;9;200;1800;08/05/2023
12/05/2023;435;4;9;200;1800;17/01/2023
12/05/2023;436;8;4;150;600;06/02/2023
12/05/2023;437;12;5;90;450;19/02/2023
13/05/2023;438;2;5;90;450;08/01/2023
13/05/2023;439;15;5;90;450;10/03/2023
13/05/2023;440;16;7;40;280;10/03/2023
13/05/2023;441;21;6;30;180;01/04/2023
13/05/2023;442;21;3;120;360;01/04/2023
13/05/2023;443;22;9;200;1800;03/04/2023
13/05/2023;444;25;3;120;360;25/04/2023
13/05/2023;445;26;8;190;1520;26/04/2023
14/05/2023;446;4;2;105;210;17/01/2023
14/05/2023;447;4;10;200;2000;17/01/2023
14/05/2023;448;9;7;40;280;09/02/2023
14/05/2023;449;10;9;200;1800;14/02/2023
14/05/2023;450;15;5;90;450;10/03/2023
14/05/2023;451;19;7;40;280;27/03/2023
14/05/2023;452;20;6;30;180;29/03/2023
14/05/2023;453;23;2;105;210;13/04/2023
14/05/2023;454;25;8;190;1520;25/04/2023
14/05/2023;455;29;6;30;180;13/05/2023
15/05/2023;456;2;4;150;600;08/01/2023
15/05/2023;457;3;6;30;180;15/01/2023
15/05/2023;458;5;10;200;2000;31/01/2023
15/05/2023;459;13;5;90;450;03/03/2023
15/05/2023;460;15;6;30;180;10/03/2023
15/05/2023;461;20;9;200;1800;29/03/2023
15/05/2023;462;22;7;40;280;03/04/2023
15/05/2023;463;27;6;30;180;04/05/2023
16/05/2023;464;1;5;90;450;01/01/2023
16/05/2023;465;1;10;200;2000;01/01/2023
16/05/2023;466;11;9;200;1800;16/02/2023
16/05/2023;467;13;3;120;360;03/03/2023
16/05/2023;468;21;2;105;210;01/04/2023
16/05/2023;469;25;7;40;280;25/04/2023
17/05/2023;470;7;7;40;280;06/02/2023
17/05/2023;471;24;3;120;360;22/04/2023
17/05/2023;472;27;8;190;1520;04/05/2023
17/05/2023;473;28;1;100;100;08/05/2023
17/05/2023;474;29;9;200;1800;13/05/2023
18/05/2023;475;11;7;40;280;16/02/2023
18/05/2023;476;25;3;120;360;25/04/2023
18/05/2023;477;25;1;100;100;25/04/2023
18/05/2023;478;29;4;150;600;13/05/2023
18/05/2023;479;29;6;30;180;13/05/2023
19/05/2023;480;6;1;100;100;01/02/2023
19/05/2023;481;7;7;40;280;06/02/2023
19/05/2023;482;9;4;150;600;09/02/2023
19/05/2023;483;11;4;150;600;16/02/2023
19/05/2023;484;12;5;90;450;19/02/2023
19/05/2023;485;12;10;200;2000;19/02/2023
19/05/2023;486;12;6;30;180;19/02/2023
19/05/2023;487;23;9;200;1800;13/04/2023
19/05/2023;488;26;2;105;210;26/04/2023
20/05/2023;489;8;2;105;210;06/02/2023
20/05/2023;490;10;5;90;450;14/02/2023
20/05/2023;491;12;8;190;1520;19/02/2023
20/05/2023;492;17;4;150;600;16/03/2023
20/05/2023;493;17;4;150;600;16/03/2023
20/05/2023;494;21;1;100;100;01/04/2023
20/05/2023;495;23;6;30;180;13/04/2023
20/05/2023;496;25;2;105;210;25/04/2023
20/05/2023;497;28;7;40;280;08/05/2023
20/05/2023;498;28;2;105;210;08/05/2023
21/05/2023;499;7;4;150;600;06/02/2023
21/05/2023;500;12;3;120;360;19/02/2023
21/05/2023;501;17;4;150;600;16/03/2023
21/05/2023;502;20;6;30;180;29/03/2023
21/05/2023;503;22;1;100;100;03/04/2023
21/05/2023;504;22;4;150;600;03/04/2023
21/05/2023;505;26;10;200;2000;26/04/2023
21/05/2023;506;27;5;90;450;04/05/2023
21/05/2023;507;29;1;100;100;13/05/2023
22/05/2023;508;2;7;40;280;08/01/2023
22/05/2023;509;4;6;30;180;17/01/2023
22/05/2023;510;11;1;100;100;16/02/2023
22/05/2023;511;17;3;120;360;16/03/2023
22/05/2023;512;25;8;190;1520;25/04/2023
23/05/2023;513;16;2;105;210;10/03/2023
23/05/2023;514;16;1;100;100;10/03/2023
23/05/2023;515;17;7;40;280;16/03/2023
23/05/2023;516;24;4;150;600;22/04/2023
23/05/2023;517;24;8;190;1520;22/04/2023
23/05/2023;518;28;3;120;360;08/05/2023
23/05/2023;519;29;2;105;210;13/05/2023
23/05/2023;520;31;10;200;2000;23/05/2023
23/05/2023;521;31;7;40;280;23/05/2023
24/05/2023;522;11;5;90;450;16/02/2023
24/05/2023;523;12;7;40;280;19/02/2023
24/05/2023;524;14;10;200;2000;03/03/2023
24/05/2023;525;23;10;200;2000;13/04/2023
24/05/2023;526;28;7;40;280;08/05/2023
25/05/2023;527;5;2;105;210;31/01/2023
25/05/2023;528;5;9;200;1800;31/01/2023
25/05/2023;529;5;6;30;180;31/01/2023
25/05/2023;530;8;3;120;360;06/02/2023
25/05/2023;531;8;8;190;1520;06/02/2023
25/05/2023;532;8;10;200;2000;06/02/2023
25/05/2023;533;9;6;30;180;09/02/2023
25/05/2023;534;18;2;105;210;18/03/2023
25/05/2023;535;24;8;190;1520;22/04/2023
25/05/2023;536;28;4;150;600;08/05/2023
25/05/2023;537;30;5;90;450;23/05/2023
26/05/2023;538;1;3;120;360;01/01/2023
26/05/2023;539;3;2;105;210;15/01/2023
26/05/2023;540;6;7;40;280;01/02/2023
26/05/2023;541;21;3;120;360;01/04/2023
26/05/2023;542;22;6;30;180;03/04/2023
26/05/2023;543;23;3;120;360;13/04/2023
26/05/2023;544;25;8;190;1520;25/04/2023
26/05/2023;545;31;7;40;280;23/05/2023
27/05/2023;546;1;7;40;280;01/01/2023
27/05/2023;547;4;8;190;1520;17/01/2023
27/05/2023;548;25;8;190;1520;25/04/2023
27/05/2023;549;29;3;120;360;13/05/2023
28/05/2023;550;1;9;200;1800;01/01/2023
28/05/2023;551;4;9;200;1800;17/01/2023
28/05/2023;552;4;10;200;2000;17/01/2023
28/05/2023;553;23;5;90;450;13/04/2023
28/05/2023;554;27;1;100;100;04/05/2023
29/05/2023;555;3;2;105;210;15/01/2023
29/05/2023;556;10;7;40;280;14/02/2023
29/05/2023;557;15;1;100;100;10/03/2023
29/05/2023;558;21;10;200;2000;01/04/2023
29/05/2023;559;21;3;120;360;01/04/2023
29/05/2023;560;22;10;200;2000;03/04/2023
29/05/2023;561;26;10;200;2000;26/04/2023
30/05/2023;562;13;1;100;100;03/03/2023
30/05/2023;563;27;2;105;210;04/05/2023
30/05/2023;564;31;10;200;2000;23/05/2023
31/05/2023;565;6;8;190;1520;01/02/2023
31/05/2023;566;9;3;120;360;09/02/2023
31/05/2023;567;22;4;150;600;03/04/2023
31/05/2023;568;26;4;150;600;26/04/2023
31/05/2023;569;28;8;190;1520;08/05/2023
31/05/2023;570;30;10;200;2000;23/05/2023
01/06/2023;571;1;9;200;1800;01/01/2023
01/06/2023;572;2;1;100;100;08/01/2023
01/06/2023;573;7;9;200;1800;06/02/2023
